Filename,1ZRDjDKyqZnk6pAqXSsystime,1ZRDjDKyqZnk6pAqXSusertime,1ZRDjDKyqZnk6pAqXSeltime,1ZRDjDKyqZnk6pAqXSmem,4b4V3ftCfxsystime,4b4V3ftCfxusertime,4b4V3ftCfxeltime,4b4V3ftCfxmem,6kix9Bk2J8BFmLDogPbsystime,6kix9Bk2J8BFmLDogPbusertime,6kix9Bk2J8BFmLDogPbeltime,6kix9Bk2J8BFmLDogPbmem,8ToZRZLnwsystime,8ToZRZLnwusertime,8ToZRZLnweltime,8ToZRZLnwmem,EZtzX xWisystime,EZtzX xWiusertime,EZtzX xWieltime,EZtzX xWimem,Ks8yG1systime,Ks8yG1usertime,Ks8yG1eltime,Ks8yG1mem,QjaiVs8M0xKsystime,QjaiVs8M0xKusertime,QjaiVs8M0xKeltime,QjaiVs8M0xKmem,Tj1Qpdk2Fzsystime,Tj1Qpdk2Fzusertime,Tj1Qpdk2Fzeltime,Tj1Qpdk2Fzmem,WMcpxDnDHX27ksystime,WMcpxDnDHX27kusertime,WMcpxDnDHX27keltime,WMcpxDnDHX27kmem,XOAWjjhvVssystime,XOAWjjhvVsusertime,XOAWjjhvVseltime,XOAWjjhvVsmem,aBS1 KjEsystime,aBS1 KjEusertime,aBS1 KjEeltime,aBS1 KjEmem,bLj3QmbWAeUVsystime,bLj3QmbWAeUVusertime,bLj3QmbWAeUVeltime,bLj3QmbWAeUVmem,dbxlqh d777XGVzGcJsystime,dbxlqh d777XGVzGcJusertime,dbxlqh d777XGVzGcJeltime,dbxlqh d777XGVzGcJmem,ebuySNI2nzDeY8dygIsystime,ebuySNI2nzDeY8dygIusertime,ebuySNI2nzDeY8dygIeltime,ebuySNI2nzDeY8dygImem,h4fJoovthsystime,h4fJoovthusertime,h4fJoovtheltime,h4fJoovthmem,izphJsystime,izphJusertime,izphJeltime,izphJmem,kL7OuphWgRsystime,kL7OuphWgRusertime,kL7OuphWgReltime,kL7OuphWgRmem,ossChA2MVnfksystime,ossChA2MVnfkusertime,ossChA2MVnfkeltime,ossChA2MVnfkmem,ru85Il5IpDG8fesystime,ru85Il5IpDG8feusertime,ru85Il5IpDG8feeltime,ru85Il5IpDG8femem,yD30i9UUYsVftH2systime,yD30i9UUYsVftH2usertime,yD30i9UUYsVftH2eltime,yD30i9UUYsVftH2mem,systimetot,usertimetot,eltimetot,memhigh
./0/dir_2/DqRbj8vN7gXeuFfJe.log,,,,,,,,,,,,,,,,,,,,,,,,,2-09:39:29,23:35:11,23:35:11,226041,,,,,,,,,,,,,52:06.134134,41:45.409205,5-18:43:32,85613,,,,,10:08.968014,39:16.929434,9-21:45:52,145312,,,,,,,,,,,,,9-11:02:23,18-00:28:46,41:16.686098,69793,,,,,,,,,,,,,1.029e+06,1.647e+06,1.443e+06,226041
./0/altro_1/14/rkaajasagiaqaawgdgq.k.y524gjaaadadafaafa3aa96auka.aaa.log,,,,,,,,,15:08:25,12:37:14,02:23.766022,662855,,,,,,,,,,,,,,,,,,,,,08:09:26,03:04:45,13:14:23,253219,,,,,,,,,,,,,,,,,,,,,03:51:32,12-11:17:34,2-15:16:41,423273,,,,,,,,,,,,,,,,,12:58:58,14:18.494096,14:18.494096,229655,1.445e+05,1.135e+06,2.765e+05,662855
./0/altro_1/cFzyEvWtIJqLmmMeGPL.F.O524PQtzlXndrfhgYn3yr96saFu.log,,,,,,,,,15:08:25,12:37:14,02:23.766022,662855,,,,,,,,,,,,,,,,,,,,,08:09:26,03:04:45,13:14:23,253219,,,,,,,,,,,,,,,,,,,,,03:51:32,12-11:17:34,2-15:16:41,423273,,,,,,,,,,,,,,,,,12:58:58,14:18.494096,14:18.494096,229655,1.445e+05,1.135e+06,2.765e+05,662855
./0/dir_2/altro_11/givOWTaPtrpYAniiJRmByYeZoHDtWYdCoBiJZCd2o.log,,,,,,,,,,,,,,,,,,,,,08:09:05,1-09:40:46,10:47.635388,783805,,,,,,,,,,,,,6-14:03:04,13:47:50,15:09:49,94994,17:45:45,22:23:42,13:47:50,295986,,,,,,,,,22:23:42,30:23.781486,40:30.271397,720125,,,,,,,,,,,,,,,,,,,,,,,,,7.429e+05,2.534e+05,1.073e+05,783805
./0/altro_1/altro_4/7/0ecy0tmrhTwwiJ2gHdL91.log,,,,,,,,,,,,,,,,,,,,,,,,,58:44.322232,15:40:28,12:17:31,968934,15:59.854952,08:48:29,6-11:51:04,466013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:35:53,18:45:48,06:07.537369,208275,04:28:14,13:40:35,10:19:22,302752,,,,,,,,,,,,,5.513e+04,2.049e+05,6.428e+05,968934
./0/altro_1/altro_4/7/Cwvy.UTLzTQqp97UsHdenJNLQhPTcDFkKI6UTQ.log,,,,,00:38:44,8-06:30:06,10-11:23:27,272986,00:38:44,8-06:30:06,16-19:01:00,362124,01:11:38,11-07:55:34,37:05.91100,358692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.946e+03,2.408e+06,2.358e+06,362124
./0/altro_1/3/zdnhiNV8kXeDHz23.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:25:33,12:26:18,19:44:58,799032,,,,,,,,,,,,,,,,,,,,,,,,,37:56.309645,15-22:20:17,9-00:28:51,806981,20:39.455995,12:26:18,3-03:09:41,815343,5.185e+04,1.466e+06,1.121e+06,815343
./0/dir_2/altro_11/sXab5O576MXiew22.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:26:12,23:41:11,01:12:18,117268,57:29.662427,18:54:34,18-07:37:08,239566,4.462e+04,1.533e+05,1.587e+06,239566
./0/altro_1/3/FoHkvIrG6ghfVmgh3rYx25.wOUGqv.F8rqL.log,,,,,,,,,,,,,,,,,41:37.34528,13:41:57,09:57:20,216133,,,,,,,,,,,,,,,,,,,,,17:54:30,14:37.895788,18:32.305409,699751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.697e+04,5.019e+04,3.695e+04,699751
./0/altro_6/9/6cHZleUsGvy5eHapVqCS8tTTi9F4KXuy3ZDaI2PkgiGB.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39:13.69406,22:16:57,15-22:39:50,315540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-22:17:56,17:36:59,39:07.984440,848287,,,,,,,,,1.206e+06,1.436e+05,1.380e+06,848287
./0/dir_2/5/13/tsMkXDXzQEJLuDn1enTJbzMp7kbtCxHurp1KJk3.log,,,,,,,,,,,,,,,,,19:12.804713,26:36.60133,49:23.277801,367655,,,,,,,,,,,,,16:43:36,43:36.69261,00:52:52,450562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.137e+04,4.213e+03,6.135e+03,450562
./0/altro_1/11uiaodmrVDutzFTdAv8u.8.log,,,,,,,,,,,,,20-19:42:21,12:55:02,47:42.215558,172036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33:05.737372,9-05:18:12,01:46:46,450904,,,,,,,,,,,,,,,,,1.801e+06,8.432e+05,9.268e+03,450904
./0/altro_1/altro_4/7/NJ.22JzL3w652ipnPl2eUrs0Uu5InUipRLVXS2Wuh1IGF.log,,,,,,,,,,,,,,,,,,,,,,,,,16:17:26,12:30:25,01:07:57,523043,,,,,,,,,,,,,,,,,,,,,02:14:09,11:53:42,24:39.796055,939412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.670e+04,8.785e+04,5.557e+03,939412
./0/dir_2/altro_11/dir_12/2OWsu0xTMQ7gF3iSik37HpVbOa3JlzyvUU.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39:03.595004,46:08.778397,8-02:17:00,908241,,,,,,,,,,,,,20:35:42,13-13:56:27,1-03:17:38,534283,,,,,7.649e+04,1.176e+06,7.977e+05,908241
./0/dir_2/altro_11/dir_12/MPTVLQs0sHKC4BdokxNj6F.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-01:52:09,23:27:06,08:20:37,889127,,,,,,,,,57:01.409500,22:46:01,44:43.105091,357923,,,,,,,,,1.830e+05,1.664e+05,3.272e+04,889127
./0/dir_2/5/13/APHkB9BdIZdpiNsgRuYYV8GtpV7l.log,,,,,08:36.245427,19:15:40,03:16:46,960361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:57:14,09:30:02,15-17:22:30,207781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.550e+03,1.035e+05,1.370e+06,960361
./0/altro_1/14/MiTOdzgqWkDxkHUb2WPLleRa6HEWuk84Swc4.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-04:25:14,00:32:50,23:40:22,74536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.479e+05,1.970e+03,8.522e+04,74536
./0/dir_2/altro_11/dir_12/aufa0gisfa1.hh.aaa.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-05:40:59,26:35.936811,19-04:13:49,100827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.661e+05,1.596e+03,1.657e+06,100827
./0/altro_1/eXZd9dQyEedCEuXOvfW2NeBlJSQDc.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49:18.353412,8-13:45:04,10:51:02,315761,,,,,2.958e+03,7.407e+05,3.906e+04,315761
./0/altro_6/9/RwoOdsPgdNnvHQ7Wy6iisvN.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-02:16:57,4-01:18:15,20:33:18,409487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.722e+05,3.503e+05,7.400e+04,409487
./0/altro_1/arga1d7fxkyaaadsh2wjaxgbfao..aaa.log,19-10:58:06,14:42:16,21:37.610921,936543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.681e+06,5.294e+04,1.298e+03,936543
TOTALS,1.868e+06,8.188e+04,1.869e+05,936543,5.911e+05,1.265e+06,1.195e+06,960361,1.647e+06,2.799e+06,1.535e+06,960539,2.670e+06,1.937e+06,9.333e+04,497548,3.476e+05,1.225e+05,4.239e+04,817531,9.954e+05,6.411e+05,6.732e+04,783805,1.038e+06,7.310e+05,2.176e+05,968934,1.327e+06,1.841e+06,2.294e+06,882693,1.647e+06,6.134e+05,2.183e+06,698818,6.966e+05,2.523e+05,2.946e+06,719822,1.171e+06,1.583e+05,2.113e+06,699751,2.485e+06,1.946e+05,2.114e+05,799032,1.560e+06,1.306e+06,3.507e+06,939412,1.079e+06,8.544e+04,1.651e+06,958529,3.717e+05,3.666e+06,3.459e+06,908241,2.712e+06,2.393e+06,1.413e+06,747812,1.062e+06,1.812e+06,3.568e+05,861624,1.422e+06,1.445e+06,3.777e+05,848287,2.422e+05,3.764e+06,1.386e+06,806981,2.038e+05,1.187e+06,2.323e+06,869501
