Eseguito con opzioni -l -e 3EX3I ./0/altro_1 ./0/dir_2 ./0/dir_2/5 ./0/altro_1/altro_4/7 ./0/altro_6/9 ./0/dir_2/altro_11/dir_12/ ./0/altro_6 ./0/altro_1/14/rkaajasagiaqaawgdgq.k.y524gjaaadadafaafa3aa96auka.aaa.log ./0/altro_1/3/5f3aa0aaga2rsdsjrqdsbkaaoaka5zk7sdkazfaaagahkaon.aaagf ./0/dir_2/5/13/jbiaoa8ahaddada.aaa ./0/altro_6/altro_101 ./0/altro_6/9/add8faa2aj.3jd3g.3EX3I ./0/dir_2/altro_11/dir_12/aufa0gisfa1.hh.aaa.log ./0/dir_2/5/hayn3asquarsdoaa.aaaf..asw.ak.aaa.log ./0/altro_1/14/az37aa18daf9daaaa0iwdd.nwoairoq04.anr ./0/altro_1/arga1d7fxkyaaadsh2wjaxgbfao..aaa.log ./0/dir_2/5/13/28gfd2aj3a4hj2xa2addasagzs.ddw3d ./0/altro_6/altro_10/2saabbkzaakdy4gjd5jayho9d1faqhd5arf0a4aha.aaagf.rioeY
Filename,1ZRDjDKyqZnk6pAqXSsystime,1ZRDjDKyqZnk6pAqXSusertime,1ZRDjDKyqZnk6pAqXSeltime,1ZRDjDKyqZnk6pAqXSmem,4b4V3ftCfxsystime,4b4V3ftCfxusertime,4b4V3ftCfxeltime,4b4V3ftCfxmem,6kix9Bk2J8BFmLDogPbsystime,6kix9Bk2J8BFmLDogPbusertime,6kix9Bk2J8BFmLDogPbeltime,6kix9Bk2J8BFmLDogPbmem,8ToZRZLnwsystime,8ToZRZLnwusertime,8ToZRZLnweltime,8ToZRZLnwmem,EZtzX xWisystime,EZtzX xWiusertime,EZtzX xWieltime,EZtzX xWimem,Ks8yG1systime,Ks8yG1usertime,Ks8yG1eltime,Ks8yG1mem,QjaiVs8M0xKsystime,QjaiVs8M0xKusertime,QjaiVs8M0xKeltime,QjaiVs8M0xKmem,Tj1Qpdk2Fzsystime,Tj1Qpdk2Fzusertime,Tj1Qpdk2Fzeltime,Tj1Qpdk2Fzmem,WMcpxDnDHX27ksystime,WMcpxDnDHX27kusertime,WMcpxDnDHX27keltime,WMcpxDnDHX27kmem,XOAWjjhvVssystime,XOAWjjhvVsusertime,XOAWjjhvVseltime,XOAWjjhvVsmem,aBS1 KjEsystime,aBS1 KjEusertime,aBS1 KjEeltime,aBS1 KjEmem,bLj3QmbWAeUVsystime,bLj3QmbWAeUVusertime,bLj3QmbWAeUVeltime,bLj3QmbWAeUVmem,dbxlqh d777XGVzGcJsystime,dbxlqh d777XGVzGcJusertime,dbxlqh d777XGVzGcJeltime,dbxlqh d777XGVzGcJmem,ebuySNI2nzDeY8dygIsystime,ebuySNI2nzDeY8dygIusertime,ebuySNI2nzDeY8dygIeltime,ebuySNI2nzDeY8dygImem,h4fJoovthsystime,h4fJoovthusertime,h4fJoovtheltime,h4fJoovthmem,izphJsystime,izphJusertime,izphJeltime,izphJmem,kL7OuphWgRsystime,kL7OuphWgRusertime,kL7OuphWgReltime,kL7OuphWgRmem,ossChA2MVnfksystime,ossChA2MVnfkusertime,ossChA2MVnfkeltime,ossChA2MVnfkmem,ru85Il5IpDG8fesystime,ru85Il5IpDG8feusertime,ru85Il5IpDG8feeltime,ru85Il5IpDG8femem,yD30i9UUYsVftH2systime,yD30i9UUYsVftH2usertime,yD30i9UUYsVftH2eltime,yD30i9UUYsVftH2mem,systimetot,usertimetot,eltimetot,memhigh
./0/dir_2/altro_11/dir_12/ZWRPit5B002Il6cAaU.3EX3I,,,,,,,,,11:56:18,18:52:09,11-06:08:00,994117,,,,,,,,,,,,,,,,,10:01:04,19:45:55,10:16:44,309545,,,,,,,,,,,,,,,,,,,,,,,,,15:34:28,5-10:12:54,23:51.833076,400200,,,,,,,,,,,,,,,,,,,,,1.351e+05,6.079e+05,1.011e+06,994117
./0/dir_2/5/13/keqdSL1fl6ZLnXmpltk2KYavHSHTHNJzoY4niO.3EX3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-11:13:21,12:35:18,24:51.51961,675398,,,,,,,,,,,,,,,,,6-14:35:35,06:19.57772,18:51:41,724204,,,,,,,,,,,,,12:49:26,15-22:22:10,10:31:52,269121,,,,,1.349e+06,1.422e+06,1.073e+05,724204
./0/altro_1/3/yIidTgFdozbDAUJ.3EX3I,,,,,,,,,,,,,,,,,,,,,17-03:08:11,04:18:50,07:04.957430,225038,,,,,,,,,,,,,,,,,,,,,20:41:47,24:46.218035,00:10.625703,56545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.555e+06,1.702e+04,4.356e+02,225038
./0/dir_2/5/13/VIuU5Wg0MksPTfbV7nXmtXcoW67zZlfjMaiE8b5CId1IlrMF.3EX3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:08:51,04:29.919774,47:30.770992,393895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-11:09:49,57:41.554115,11-15:28:32,555742,3.143e+05,3.731e+03,1.009e+06,555742
./0/altro_6/9/uP7dNSLTv.7oCAjG4X4sSlvVa1E5ujdLsgT0lZ0BP2BUgt.3EX3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:49:48,13-19:18:18,17:54:31,779003,,,,,,,,,,,,,,,,,15:26:28,4-23:49:36,47:25.716414,570073,,,,,,,,,,,,,,,,,,,,,,,,,1.126e+05,1.624e+06,6.732e+04,779003
./0/altro_1/3/kCm8tko8sTQsP.3EX3I,,,,,34:04.171949,9-13:12:50,15:42:33,726968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20:58.98972,23:32.147474,25:45.897205,823162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.303e+03,8.266e+05,5.810e+04,823162
./0/dir_2/altro_11/GxHouOVBXz.3EX3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-09:04:30,09:29:39,13-04:41:12,103992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.761e+06,3.418e+04,1.140e+06,103992
./0/altro_1/r4EXYohQCa.SFpuZrGRMxAk.3EX3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:00:29,05:29:07,06:06:45,152521,,,,,5.403e+04,1.975e+04,2.200e+04,152521
./0/dir_2/altro_11/zx9.68AFs0.8WdjziOqOow4N0LrhrdTs9u0WUGZFz822KnGUky.3EX3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27:45.321453,17:34:31,22:12:20,222716,1.665e+03,6.327e+04,7.994e+04,222716
./0/dir_2/5/13/41h63nfqq9G8pVGHd0rFFc07S3zQU2AYESFtN0tZcF0Ta9WkhE.3EX3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:45.526138,11:23:39,17-03:42:58,286528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.655e+02,4.102e+04,1.482e+06,286528
./0/altro_1/3/7gV1PfiOuOXIGm.3EX3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-09:51:01,5-19:23:22,07:13.336685,432934,,,,,1.245e+06,5.018e+05,4.333e+02,432934
./0/altro_6/9/LXXT1on9zQrHuYC6Rwayu.JCz2.3EX3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:13.515452,06:04:20,07:56:28,644316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.935e+02,2.186e+04,2.859e+04,644316
./0/altro_6/9/mU1WvH8ZEZrDOi55cxqLvMtJNIf1.3EX3I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-07:52:46,6-11:25:45,1-23:52:14,700737,,,,,,,,,,,,,,,,,,,,,,,,,1.065e+06,5.595e+05,1.723e+05,700737
TOTALS,8.043e+04,7.370e+05,3.322e+03,444874,2.372e+05,1.564e+06,9.679e+04,726968,5.449e+04,1.560e+05,2.498e+06,994117,1.815e+06,2.065e+06,2.162e+06,856450,2.484e+03,8.043e+04,1.719e+03,808728,1.584e+06,2.639e+05,2.844e+06,705023,3.604e+03,1.266e+05,3.357e+06,75719,3.145e+06,2.528e+05,1.137e+06,568984,2.208e+06,1.256e+06,1.246e+06,779003,9.543e+05,1.866e+06,1.741e+06,675398,2.528e+03,1.754e+03,2.181e+03,823162,1.115e+06,2.320e+06,1.062e+06,925651,1.915e+05,1.603e+06,2.739e+06,871539,1.178e+06,2.077e+06,2.615e+05,700737,3.269e+06,7.487e+05,5.444e+05,967885,7.846e+04,9.252e+04,3.069e+06,332097,6.887e+04,1.166e+06,5.619e+04,972387,1.542e+06,2.647e+06,7.589e+05,907652,2.736e+06,1.918e+06,1.362e+05,749701,3.314e+05,6.922e+04,1.784e+06,890083
